year,month,zone,pounds,molen
2008,9,C,3278299,30
2008,10,C,2371543,31
2008,11,C,1424041,30
2008,12,C,538763,31
2009,1,C,263228,31
2009,2,C,77580,28
2009,3,C,68380,31
2009,4,C,176168,30
2009,5,C,423685,31
2009,6,C,372791,30
2009,7,C,1976425,31
2009,8,C,3935469,31
2009,9,C,3561748,30
2009,10,C,2762908,31
2009,11,C,1827323,30
2009,12,C,809336,31
2010,1,C,269265,31
2010,2,C,68902,28
2010,3,C,78111,31
2010,4,C,262810,30
2010,5,C,568901,31
2010,6,C,1026971,30
2010,7,C,4917447,31
2010,8,C,5411198,31
2010,9,C,3721811,30
2010,10,C,3788323,31
2010,11,C,2194183,30
2010,12,C,625734,31
2011,1,C,240702,31
2011,2,C,86023,28
2011,3,C,108871,31
2011,4,C,210311,30
2011,5,C,598285,31
2011,6,C,827090,30
2011,7,C,3840349,31
2011,8,C,6659167,31
2011,9,C,5206089,30
2011,10,C,3826521,31
2011,11,C,1884158,30
2011,12,C,604699,31
2012,1,C,282785,31
2012,2,C,173120,28
2012,3,C,152351,31
2012,4,C,346697,30
2012,5,C,638155,31
2012,6,C,2111364,30
2012,7,C,7363473,31
2012,8,C,7580803,31
2012,9,C,5608560,30
2012,10,C,5390776,31
2012,11,C,3216248,30
2012,12,C,824956,31
2013,1,C,275933,31
2013,2,C,134392,28
2013,3,C,153250,31
2013,4,C,415039,30
2013,5,C,770570,31
2013,6,C,995037,30
2013,7,C,6850523,31
2013,8,C,8878377,31
2013,9,C,6064674,30
2013,10,C,5278385,31
2013,11,C,2266703,30
2013,12,C,967621,31
2014,1,C,326739,31
2014,2,C,223661,28
2014,3,C,214525,31
2014,4,C,358859,30
2014,5,C,759530,31
2014,6,C,789051,30
2014,7,C,3871174,31
2014,8,C,8002285,31
2014,9,C,6907467,30
2014,10,C,6119590,31
2014,11,C,2686527,30
2014,12,C,1131096,31
2015,1,C,353248,31
2015,2,C,107420,28
2015,3,C,239333,31
2015,4,C,376167,30
2015,5,C,671026,31
2015,6,C,897446,30
2015,7,C,4199989,31
2015,8,C,7890230,31
2015,9,C,6655807,30
2015,10,C,5050047,31
2015,11,C,3650749,30
2015,12,C,1555788,31
2016,1,C,553056,31
2016,2,C,252515,28
2016,3,C,263519,31
2016,4,C,469726,30
2016,5,C,766874,31
2016,6,C,1763797,30
2016,7,C,7515989,31
2016,8,C,6777121,31
2016,9,C,5127424,30
2016,10,C,5433933,31
2016,11,C,3621025,30
2016,12,C,1068349,31
2008,1,D,205578,31
2008,2,D,102006,28
2008,3,D,98146,31
2008,4,D,243408,30
2008,5,D,599768,31
2008,6,D,579575,30
2008,7,D,1948384,31
2008,8,D,3303099,31
2008,9,D,3472608,30
2008,10,D,2994885,31
2008,11,D,1762755,30
2008,12,D,524208,31
2009,1,D,251974,31
2009,2,D,82496,28
2009,3,D,73757,31
2009,4,D,177033,30
2009,5,D,582594,31
2009,6,D,595928,30
2009,7,D,2078870,31
2009,8,D,4078291,31
2009,9,D,4087581,30
2009,10,D,3807522,31
2009,11,D,2411002,30
2009,12,D,1053848,31
2010,1,D,219394,31
2010,2,D,58318,28
2010,3,D,72557,31
2010,4,D,219811,30
2010,5,D,508072,31
2010,6,D,1007785,30
2010,7,D,3314703,31
2010,8,D,4212748,31
2010,9,D,3799409,30
2010,10,D,4011406,31
2010,11,D,2263115,30
2010,12,D,725295,31
2011,1,D,266174,31
2011,2,D,84460,28
2011,3,D,111560,31
2011,4,D,207008,30
2011,5,D,576260,31
2011,6,D,817763,30
2011,7,D,3459615,31
2011,8,D,6682671,31
2011,9,D,4860161,30
2011,10,D,4514655,31
2011,11,D,2370785,30
2011,12,D,1038828,31
2012,1,D,290591,31
2012,2,D,157970,28
2012,3,D,119019,31
2012,4,D,251385,30
2012,5,D,632259,31
2012,6,D,2037460,30
2012,7,D,5117615,31
2012,8,D,5214340,31
2012,9,D,4451484,30
2012,10,D,3910885,31
2012,11,D,2831474,30
2012,12,D,994177,31
2013,1,D,282003,31
2013,2,D,95002,28
2013,3,D,142331,31
2013,4,D,314542,30
2013,5,D,582088,31
2013,6,D,1085909,30
2013,7,D,4690753,31
2013,8,D,6124488,31
2013,9,D,4172002,30
2013,10,D,4379679,31
2013,11,D,2079661,30
2013,12,D,1033794,31
2014,1,D,299313,31
2014,2,D,209979,28
2014,3,D,147523,31
2014,4,D,251758,30
2014,5,D,690897,31
2014,6,D,711999,30
2014,7,D,2160785,31
2014,8,D,5798248,31
2014,9,D,5401054,30
2014,10,D,5120266,31
2014,11,D,2356451,30
2014,12,D,1290225,31
2015,1,D,312488,31
2015,2,D,63524,28
2015,3,D,168471,31
2015,4,D,232427,30
2015,5,D,515320,31
2015,6,D,811887,30
2015,7,D,2684107,31
2015,8,D,5683234,31
2015,9,D,5089005,30
2015,10,D,4633726,31
2015,11,D,3227758,30
2015,12,D,1817537,31
2016,1,D,633422,31
2016,2,D,228870,28
2016,3,D,202193,31
2016,4,D,324489,30
2016,5,D,659397,31
2016,6,D,1587707,30
2016,7,D,4555560,31
2016,8,D,4683183,31
2016,9,D,4164838,30
2016,10,D,3875070,31
2016,11,D,3211479,30
2016,12,D,1212049,31
2008,1,E,146081,31
2008,2,E,66862,28
2008,3,E,49908,31
2008,4,E,90646,30
2008,5,E,177114,31
2008,6,E,199810,30
2008,7,E,858679,31
2008,8,E,959495,31
2008,9,E,1088571,30
2008,10,E,995003,31
2008,11,E,758514,30
2008,12,E,299172,31
2009,1,E,180430,31
2009,2,E,58880,28
2009,3,E,52598,31
2009,4,E,86481,30
2009,5,E,154489,31
2009,6,E,157259,30
2009,7,E,930783,31
2009,8,E,1028348,31
2009,9,E,935369,30
2009,10,E,942315,31
2009,11,E,897407,30
2009,12,E,470356,31
2010,1,E,142505,31
2010,2,E,35841,28
2010,3,E,31553,31
2010,4,E,96318,30
2010,5,E,136924,31
2010,6,E,366996,30
2010,7,E,1001718,31
2010,8,E,1073145,31
2010,9,E,895397,30
2010,10,E,1052516,31
2010,11,E,867838,30
2010,12,E,307289,31
2011,1,E,110940,31
2011,2,E,37006,28
2011,3,E,54485,31
2011,4,E,62620,30
2011,5,E,125004,31
2011,6,E,222981,30
2011,7,E,1055631,31
2011,8,E,1299900,31
2011,9,E,912320,30
2011,10,E,1046939,31
2011,11,E,804779,30
2011,12,E,435676,31
2012,1,E,158001,31
2012,2,E,82779,28
2012,3,E,46116,31
2012,4,E,81298,30
2012,5,E,254355,31
2012,6,E,823670,30
2012,7,E,1117552,31
2012,8,E,915432,31
2012,9,E,753781,30
2012,10,E,933883,31
2012,11,E,1048634,30
2012,12,E,492915,31
2013,1,E,153339,31
2013,2,E,68027,28
2013,3,E,65905,31
2013,4,E,96797,30
2013,5,E,174287,31
2013,6,E,443412,30
2013,7,E,1288336,31
2013,8,E,1192113,31
2013,9,E,821435,30
2013,10,E,998517,31
2013,11,E,698166,30
2013,12,E,466955,31
2014,1,E,133025,31
2014,2,E,104321,28
2014,3,E,76554,31
2014,4,E,72779,30
2014,5,E,175617,31
2014,6,E,170571,30
2014,7,E,724079,31
2014,8,E,1147495,31
2014,9,E,1119317,30
