t,zone_avg,zone
1978-01-16,2.7615231588234193,A
1978-02-14,1.8862626231404316,A
1978-03-16,3.03567526884536,A
1978-04-15,5.726898303312665,A
1978-05-16,9.001436900701473,A
1978-06-15,11.012903163470916,A
1978-07-16,13.576296904226272,A
1978-08-16,13.643524709396319,A
1978-09-15,12.743400857996155,A
1978-10-16,9.472849535170663,A
1978-11-15,5.050820115855646,A
1978-12-16,2.5857316978148632,A
1979-01-16,1.7730126344242054,A
1979-02-14,0.5283466624592971,A
1979-03-16,2.4597464223533323,A
1979-04-15,5.145922606463842,A
1979-05-16,8.593764315231654,A
1979-06-15,11.166137219788594,A
1979-07-16,13.72037627856624,A
1979-08-16,14.58928119003459,A
1979-09-15,14.239070991732614,A
1979-10-16,11.394542481023857,A
1979-11-15,8.670396683912507,A
1979-12-16,5.758822132490967,A
1980-01-16,3.8493332350319553,A
1980-02-15,2.7100402642480867,A
1980-03-16,3.133248911905067,A
1980-04-15,6.806933491752102,A
1980-05-16,9.365762001259236,A
1980-06-15,11.786072739597984,A
1980-07-16,13.42937050761069,A
1980-08-16,14.662175777721222,A
1980-09-15,13.872117235823104,A
1980-10-16,10.578074560953747,A
1980-11-15,6.465681001751323,A
1980-12-16,3.519493076684184,A
1981-01-16,1.3982058320003687,A
1981-02-14,2.3395761500877144,A
1981-03-16,3.8405761914132803,A
1981-04-15,6.602175576979958,A
1981-05-16,9.697574959550698,A
1981-06-15,12.16875151895466,A
1981-07-16,14.16982120636642,A
1981-08-16,14.540288300422585,A
1981-09-15,11.73853039989575,A
1981-10-16,10.445349937222852,A
1981-11-15,9.300504316280305,A
1981-12-16,7.249705349004538,A
1982-01-16,4.85040326832295,A
1982-02-14,3.9662740286689693,A
1982-03-16,3.4080551832560504,A
1982-04-15,3.9951593435410357,A
1982-05-16,6.179461520724705,A
1982-06-15,9.046895895668097,A
1982-07-16,11.358717430031398,A
1982-08-16,12.00354272384695,A
1982-09-15,11.86574779351974,A
1982-10-16,11.146670087868573,A
1982-11-15,9.816731880964968,A
1982-12-16,7.371587884154225,A
1983-01-16,5.701351586109597,A
1983-02-14,4.186403390476882,A
1983-03-16,3.6465242688223647,A
1983-04-15,4.7546715611386965,A
1983-05-16,5.850514699674507,A
1983-06-15,9.270787912724655,A
1983-07-16,11.292341645711726,A
1983-08-16,12.557696079010332,A
1983-09-15,12.194743779634699,A
1983-10-16,11.332941369213865,A
1983-11-15,9.57261573232817,A
1983-12-16,6.969311621252445,A
1984-01-16,5.117034634662874,A
1984-02-15,4.315365985657867,A
1984-03-16,3.130977250190273,A
1984-04-15,4.030072437125908,A
1984-05-16,5.20190566096994,A
1984-06-15,8.35635428422035,A
1984-07-16,11.374437374799983,A
1984-08-16,13.42388119214683,A
1984-09-15,11.85291478144475,A
1984-10-16,10.663763631683478,A
1984-11-15,10.007831540606373,A
1984-12-16,7.974883053224845,A
1985-01-16,4.910045792877594,A
1985-02-14,3.8836577969046058,A
1985-03-16,3.269182973462699,A
1985-04-16,3.888259572242308,A
1985-05-16,5.429884220970232,A
1985-06-15,7.926019297833299,A
1985-07-16,10.759508288803064,A
1985-08-16,12.470874400543337,A
1985-09-15,12.241858040962047,A
1985-10-16,11.26420860400646,A
1985-11-16,8.888953796423918,A
1985-12-16,6.27736564873044,A
1986-01-16,4.278215583031567,A
1986-02-15,2.9986702498964934,A
1986-03-16,2.8170233932672395,A
1986-04-15,4.296389764056338,A
1986-05-16,6.173109677212539,A
1986-06-16,7.908556620480989,A
1986-07-16,10.931509498020851,A
1986-08-16,12.736119457915546,A
1986-09-16,11.849709172801184,A
1986-10-16,10.66341102454492,A
1986-11-15,8.85244475214916,A
1986-12-16,6.584477460760349,A
1987-01-16,4.3874468517165335,A
1987-02-14,2.4746857049697772,A
1987-03-16,1.8728759867689047,A
1987-04-16,2.872571821924649,A
1987-05-16,5.04499486274432,A
1987-06-15,8.341970745083012,A
1987-07-16,10.81617525463477,A
1987-08-16,12.03959181315653,A
1987-09-15,11.684017114751347,A
1987-10-16,10.223442455834014,A
1987-11-15,8.151729345934507,A
1987-12-16,5.731273795201449,A
1988-01-16,3.308438809417327,A
1988-02-15,2.2748088861986515,A
1988-03-16,2.4237233049998235,A
1988-04-15,3.4216820326461956,A
1988-05-16,5.332067600112342,A
1988-06-16,7.736800301901358,A
1988-07-16,11.21606744083305,A
1988-08-16,12.529199673129567,A
1988-09-16,11.384023404003692,A
1988-10-16,9.869595263928346,A
1988-11-15,8.3531493216289725,A
1988-12-16,5.787170465069664,A
1989-01-16,3.6169144025732805,A
1989-02-14,2.2514891105497026,A
1989-03-16,1.7772278466512224,A
1989-04-16,2.91064091839966,A
1989-05-16,5.720255084348876,A
1989-06-15,8.489302071000095,A
1989-07-16,11.202651785483164,A
1989-08-16,12.655630934675699,A
1989-09-15,12.430393848917642,A
1989-10-16,10.192742770818093,A
1989-11-15,8.653999899615515,A
1989-12-16,4.757869218976452,A
1990-01-16,3.552443016066176,A
1990-02-14,2.2752259175874423,A
1990-03-16,1.9896503790457307,A
1990-04-15,2.9007863412410586,A
1990-05-16,5.342313414634799,A
1990-06-15,8.021680468867793,A
1990-07-16,11.0127574947289,A
1990-08-16,14.216709100133452,A
1990-09-15,12.858816751802832,A
1990-10-16,11.468911986041864,A
1990-11-15,8.61210076126719,A
1990-12-16,6.402378786820823,A
1991-01-16,4.077379808640304,A
1991-02-14,2.8570667905417215,A
1991-03-16,2.7038075042970373,A
1991-04-15,3.5245022169695117,A
1991-05-16,5.697547384504735,A
1991-06-15,8.644361360152176,A
