Mean,Date,low,high
7.9091575145721436,1982-01-01,6.0076375007629395,9.05463981628418
5.948064565658569,1982-02-01,4.160014271736145,7.17880392074585
5.6375367641448975,1982-03-01,4.021502137184143,7.060947895050049
7.3561646938323975,1982-04-01,6.015849590301514,8.801241397857666
11.433996677398682,1982-05-01,10.082677841186523,12.943807125091553
16.620391845703125,1982-06-01,15.350566387176514,17.827956199645996
20.75962543487549,1982-07-01,19.63327407836914,22.03902244567871
21.88675022125244,1982-08-01,21.043211936950684,23.27088451385498
20.092638969421387,1982-09-01,19.16612434387207,21.601654052734375
16.58426284790039,1982-10-01,15.212004661560059,17.676005363464355
12.951635837554932,1982-11-01,11.451475143432617,15.219015121459961
10.420180320739746,1982-12-01,9.464670181274414,12.556400775909424
7.616576194763184,1983-01-01,6.317348003387451,8.973977088928223
5.513138294219971,1983-02-01,4.3312296867370605,7.058340072631836
5.230994701385498,1983-03-01,3.784337043762207,7.169531345367432
7.001404523849487,1983-04-01,5.33436918258667,8.36468505859375
11.164335250854492,1983-05-01,9.616225242614746,13.09047555923462
16.152963161468506,1983-06-01,14.676953315734863,18.207036018371582
20.342023849487305,1983-07-01,18.905012130737305,21.90525722503662
21.431546211242676,1983-08-01,20.03354263305664,23.232962608337402
19.64024829864502,1983-09-01,17.986443519592285,20.955554008483887
16.240468978881836,1983-10-01,14.78474760055542,17.44044589996338
12.712530136108398,1983-11-01,11.604066371917725,13.673855304718018
9.834898471832275,1983-12-01,8.101353168487549,11.536219596862793
7.071260690689087,1984-01-01,5.837135314941406,8.599455833435059
5.37793231010437,1984-02-01,4.28496527671814,6.87653374671936
5.048430681228638,1984-03-01,3.660695433616638,6.818357467651367
6.872560739517212,1984-04-01,5.408450365066528,8.307865142822266
11.084981918334961,1984-05-01,9.585489273071289,12.413966178894043
16.11319065093994,1984-06-01,14.796391487121582,17.298187255859375
20.568464279174805,1984-07-01,19.131991386413574,21.980603218078613
21.97078037261963,1984-08-01,20.45783805847168,23.37905502319336
20.111205101013184,1984-09-01,18.273025512695312,21.804951667785645
16.560372352600098,1984-10-01,15.604240894317627,17.595285415649414
13.058156490325928,1984-11-01,11.765963554382324,14.438987255096436
10.413149356842041,1984-12-01,9.307690143585205,11.774758338928223
7.511747360229492,1985-01-01,6.298371315002441,8.639795780181885
5.640270948410034,1985-02-01,4.4031219482421875,6.7457897663116455
5.18878436088562,1985-03-01,3.7535446882247925,6.586770057678223
7.05692720413208,1985-04-01,5.704686164855957,8.486689567565918
11.14116907119751,1985-05-01,9.650163650512695,12.464539051055908
16.271119117736816,1985-06-01,14.601556777954102,17.531147956848145
20.834285736083984,1985-07-01,19.7448091506958,21.800857543945312
22.31870937347412,1985-08-01,21.43787956237793,23.328099250793457
20.411151885986328,1985-09-01,19.18490982055664,21.74210548400879
16.80911636352539,1985-10-01,15.62071180343628,17.925374031066895
13.209437370300293,1985-11-01,11.937108039855957,14.14222240447998
10.241108894348145,1985-12-01,9.063531875610352,11.6075439453125
7.341186761856079,1986-01-01,6.254653692245483,8.666365623474121
5.795003652572632,1986-02-01,4.612558126449585,7.062017917633057
5.790208578109741,1986-03-01,4.353378415107727,7.226515769958496
7.209347486495972,1986-04-01,5.720611810684204,8.75112247467041
10.948737621307373,1986-05-01,9.458486557006836,12.34338903427124
16.415006637573242,1986-06-01,15.179837226867676,17.697729110717773
21.063515663146973,1986-07-01,20.22175121307373,22.286136627197266
21.675418853759766,1986-08-01,20.3135929107666,23.121328353881836
19.93406581878662,1986-09-01,18.41847038269043,21.506927490234375
16.47688388824463,1986-10-01,14.76769208908081,18.136554718017578
12.951163291931152,1986-11-01,11.020359516143799,14.948052883148193
10.451009750366211,1986-12-01,9.334831714630127,11.612676620483398
7.6460490226745605,1987-01-01,6.5635950565338135,8.731252670288086
5.826550722122192,1987-02-01,4.407064199447632,6.688832759857178
5.4790894985198975,1987-03-01,4.1245832443237305,6.451979160308838
7.276009798049927,1987-04-01,5.97933292388916,8.750720977783203
11.117828845977783,1987-05-01,9.665647029876709,12.897648334503174
16.23498821258545,1987-06-01,15.117079257965088,17.369075775146484
20.70247459411621,1987-07-01,19.72977638244629,21.54463768005371
21.823477745056152,1987-08-01,20.97294330596924,22.606362342834473
19.903274536132812,1987-09-01,18.692096710205078,20.83531379699707
16.425128936767578,1987-10-01,15.200196743011475,17.41762638092041
12.92808198928833,1987-11-01,12.310818195343018,14.115553379058838
10.186917781829834,1987-12-01,9.173707008361816,11.315322399139404
7.492711544036865,1988-01-01,6.194819211959839,8.364068508148193
5.491018533706665,1988-02-01,4.3535754680633545,6.531278848648071
5.228824615478516,1988-03-01,4.463285684585571,6.256479978561401
6.843158721923828,1988-04-01,5.6804986000061035,8.018548727035522
10.73183298110962,1988-05-01,8.81339693069458,12.338573455810547
16.448044776916504,1988-06-01,14.493130683898926,18.021196365356445
20.848133087158203,1988-07-01,19.146986961364746,22.456031799316406
21.817272186279297,1988-08-01,20.06430149078369,23.50505828857422
20.434728622436523,1988-09-01,18.808271408081055,21.88469696044922
16.628055572509766,1988-10-01,15.217314720153809,17.850895881652832
12.954514503479004,1988-11-01,11.879026889801025,13.936885356903076
10.34086275100708,1988-12-01,8.895115852355957,11.62236738204956
7.782674312591553,1989-01-01,6.2701592445373535,9.671247005462646
6.12037205696106,1989-02-01,4.851437330245972,7.8577048778533936
5.694551944732666,1989-03-01,4.740441799163818,6.820052623748779
7.304272413253784,1989-04-01,6.2341649532318115,8.306297302246094
11.49154806137085,1989-05-01,10.472293376922607,12.657081127166748
