Year,Abundance
1979,64
1980,129
1981,70
1982,96
1983,80
1984,115
1985,79
1986,101
1987,74
1988,146
1989,108
1990,123
1991,150
1992,141
1993,126
1994,139
1995,176
1996,193
1997,171
1998,201
1999,187
2000,188
2001,218
2002,203
2003,225
2004,218
2005,218
2006,225
2007,266
2008,248
2009,372
2010,340
2011,474
2012,532
2013,532
