Year,Average,Std,Model,Area
2011,530.228872,49.1677025,CMIP5_RCP_8.5_5th,GoM
2012,525.929529,47.9852472,CMIP5_RCP_8.5_5th,GoM
2013,506.801434,45.050877,CMIP5_RCP_8.5_5th,GoM
2014,496.483736,43.1569831,CMIP5_RCP_8.5_5th,GoM
2015,482.582324,40.488869,CMIP5_RCP_8.5_5th,GoM
2016,480.525588,40.729176,CMIP5_RCP_8.5_5th,GoM
2017,484.906904,44.2590148,CMIP5_RCP_8.5_5th,GoM
2018,495.175248,47.3737706,CMIP5_RCP_8.5_5th,GoM
2019,504.275225,52.6156651,CMIP5_RCP_8.5_5th,GoM
2020,506.451915,55.8898461,CMIP5_RCP_8.5_5th,GoM
2021,502.901921,56.3801643,CMIP5_RCP_8.5_5th,GoM
2022,487.362712,53.4872612,CMIP5_RCP_8.5_5th,GoM
2023,469.068584,49.9345353,CMIP5_RCP_8.5_5th,GoM
2024,451.61204,47.3505584,CMIP5_RCP_8.5_5th,GoM
2025,439.863858,45.5843923,CMIP5_RCP_8.5_5th,GoM
2026,431.97008,44.4903302,CMIP5_RCP_8.5_5th,GoM
2027,427.306952,44.4000904,CMIP5_RCP_8.5_5th,GoM
2028,427.332716,44.8300052,CMIP5_RCP_8.5_5th,GoM
2029,423.787005,43.8175636,CMIP5_RCP_8.5_5th,GoM
2030,416.446584,42.6018289,CMIP5_RCP_8.5_5th,GoM
2031,405.087403,40.8222209,CMIP5_RCP_8.5_5th,GoM
2032,395.152049,39.6904885,CMIP5_RCP_8.5_5th,GoM
2033,379.588081,37.367785,CMIP5_RCP_8.5_5th,GoM
2034,366.586093,35.5322807,CMIP5_RCP_8.5_5th,GoM
2035,361.110209,34.7038447,CMIP5_RCP_8.5_5th,GoM
2036,353.858276,33.2901723,CMIP5_RCP_8.5_5th,GoM
2037,352.072323,32.6455577,CMIP5_RCP_8.5_5th,GoM
2038,353.389639,33.2401472,CMIP5_RCP_8.5_5th,GoM
2039,353.662539,33.3336965,CMIP5_RCP_8.5_5th,GoM
2040,351.498591,32.5947947,CMIP5_RCP_8.5_5th,GoM
2041,348.859325,32.2710693,CMIP5_RCP_8.5_5th,GoM
2042,344.257328,30.6906121,CMIP5_RCP_8.5_5th,GoM
2043,336.853875,28.9328461,CMIP5_RCP_8.5_5th,GoM
2044,330.935506,27.9866834,CMIP5_RCP_8.5_5th,GoM
2045,326.074712,27.2114088,CMIP5_RCP_8.5_5th,GoM
2046,321.364198,26.7882697,CMIP5_RCP_8.5_5th,GoM
2047,315.722055,26.0716439,CMIP5_RCP_8.5_5th,GoM
2048,310.923848,25.0267343,CMIP5_RCP_8.5_5th,GoM
2049,305.519609,23.8624747,CMIP5_RCP_8.5_5th,GoM
2050,297.830975,23.0695447,CMIP5_RCP_8.5_5th,GoM
1985,91.680659,0.6012473,CMIP5_RCP_8.5_95th,GoM
1986,101.429724,1.8741311,CMIP5_RCP_8.5_95th,GoM
1987,109.016595,4.0259933,CMIP5_RCP_8.5_95th,GoM
1988,117.766002,6.0970525,CMIP5_RCP_8.5_95th,GoM
1989,127.12606,9.1427641,CMIP5_RCP_8.5_95th,GoM
1990,133.112638,11.8504284,CMIP5_RCP_8.5_95th,GoM
1991,135.09002,13.7750133,CMIP5_RCP_8.5_95th,GoM
1992,141.960823,15.2472124,CMIP5_RCP_8.5_95th,GoM
1993,153.459265,16.6381376,CMIP5_RCP_8.5_95th,GoM
1994,165.441918,18.1358168,CMIP5_RCP_8.5_95th,GoM
1995,176.991315,20.0889723,CMIP5_RCP_8.5_95th,GoM
1996,191.145479,22.082231,CMIP5_RCP_8.5_95th,GoM
1997,204.941909,22.8741795,CMIP5_RCP_8.5_95th,GoM
1998,220.45364,23.7048151,CMIP5_RCP_8.5_95th,GoM
1999,236.639424,24.9177047,CMIP5_RCP_8.5_95th,GoM
2000,250.389511,26.575311,CMIP5_RCP_8.5_95th,GoM
