Mean,Date,low,high
5.323705971240997,1982-01-01,4.172722220420837,6.683958947658539
4.067955553531647,1982-02-01,2.9321620762348175,5.261851340532303
3.9092677235603333,1982-03-01,2.6994736194610596,4.95818755030632
4.932577908039093,1982-04-01,3.84452286362648,6.071863114833832
7.4541624784469604,1982-05-01,6.262829899787903,8.814639866352081
11.271488785743713,1982-06-01,10.1796954870224,12.438645720481873
14.722248911857605,1982-07-01,13.734772682189941,16.16887879371643
15.953514695167542,1982-08-01,15.137338042259216,17.172545909881592
14.366026639938354,1982-09-01,13.275761842727661,15.532182455062866
11.911517024040222,1982-10-01,10.737993955612183,13.2089604139328
9.77115547657013,1982-11-01,8.327337563037872,11.284115672111511
7.651538133621216,1982-12-01,6.348453640937805,9.25200468301773
5.437594413757324,1983-01-01,4.307769149541855,6.775308310985565
3.8696013689041138,1983-02-01,2.743680000305176,5.019028455018997
3.278429299592972,1983-03-01,2.1112170815467834,4.630876809358597
4.322934180498123,1983-04-01,3.1510198414325714,5.302471727132797
6.975297927856445,1983-05-01,6.031819045543671,8.104993522167206
10.724152207374573,1983-06-01,9.787559390068054,11.768898844718933
14.409250855445862,1983-07-01,13.510669589042664,15.53603446483612
15.849478125572205,1983-08-01,14.906315684318542,16.981534242630005
14.32857370376587,1983-09-01,13.184186577796936,15.487783193588257
11.752706527709961,1983-10-01,10.788187623023987,12.554549813270569
9.229732513427734,1983-11-01,8.19896787405014,10.477302312850952
7.318767309188843,1983-12-01,6.1566455364227295,8.668594658374786
5.291590452194214,1984-01-01,4.185181766748428,6.501348316669464
4.034775525331497,1984-02-01,2.9763722270727158,5.038819789886475
3.5710022151470184,1984-03-01,2.5178093761205673,4.810375481843948
4.732845306396484,1984-04-01,3.7877257466316223,5.931788921356201
7.492940366268158,1984-05-01,6.362725675106049,8.491751670837402
11.089054703712463,1984-06-01,9.850855231285095,12.10005009174347
14.960630178451538,1984-07-01,13.95082139968872,16.288408160209656
16.527851939201355,1984-08-01,15.362819194793701,17.503079533576965
14.647279024124146,1984-09-01,13.545541763305664,15.757736086845398
11.837897181510925,1984-10-01,10.755394339561462,12.738499879837036
9.326452493667603,1984-11-01,8.400142073631287,10.307588458061218
7.181030035018921,1984-12-01,6.239196002483368,8.145636439323425
5.467435777187347,1985-01-01,4.570525139570236,6.303336203098297
4.1235282719135284,1985-02-01,3.124245911836624,5.099568247795105
3.45813912153244,1985-03-01,2.3581598103046417,4.640482723712921
4.646731019020081,1985-04-01,3.3063794374465942,6.3143430352211
7.3755998611450195,1985-05-01,6.055798232555389,8.539358496665955
11.254513502120972,1985-06-01,10.185654044151306,12.491517424583435
15.02832543849945,1985-07-01,13.90543532371521,16.36211133003235
16.693062782287598,1985-08-01,15.635291457176208,17.90881645679474
15.207834959030151,1985-09-01,13.998506546020508,16.302786469459534
12.195108652114868,1985-10-01,10.96190619468689,13.480233430862427
9.577208518981934,1985-11-01,8.252893805503845,10.647276401519775
7.485635042190552,1985-12-01,6.414827764034271,8.713759064674377
5.667916417121887,1986-01-01,4.5400270819664,6.835578799247742
4.407321512699127,1986-02-01,3.1751156747341156,5.9268792271614075
3.8257369101047516,1986-03-01,2.7729218006134033,5.280834794044495
4.687552362680435,1986-04-01,3.562108874320984,6.013829678297043
7.326927721500397,1986-05-01,6.061964929103851,8.69405847787857
11.259429454803467,1986-06-01,10.432147741317749,12.539382100105286
15.22290563583374,1986-07-01,14.245441675186157,16.38528001308441
16.42853879928589,1986-08-01,15.198270201683044,17.698189616203308
14.853819847106934,1986-09-01,13.251708626747131,16.237774968147278
11.716412544250488,1986-10-01,10.337456107139587,13.018935441970825
8.966159641742706,1986-11-01,7.781395137310028,10.559598743915558
7.264888882637024,1986-12-01,6.191687822341919,8.737299978733063
5.481786608695984,1987-01-01,4.539660215377808,6.643587648868561
4.28710600733757,1987-02-01,3.2937384247779846,5.257289946079254
3.9102527797222137,1987-03-01,3.1343418657779694,4.606646507978439
4.952729940414429,1987-04-01,4.2098835706710815,5.823988378047943
7.605625569820404,1987-05-01,6.63102799654007,8.641082108020782
11.303418040275574,1987-06-01,10.565407752990723,12.227107405662537
14.915533185005188,1987-07-01,14.096552968025208,15.930763602256775
16.27832567691803,1987-08-01,15.294107556343079,17.34840154647827
14.66679859161377,1987-09-01,13.78157389163971,15.379735708236694
11.946099758148193,1987-10-01,10.986396789550781,12.738042950630188
9.178105235099792,1987-11-01,8.482568740844727,10.095718026161194
7.207612991333008,1987-12-01,6.221810042858124,8.145971298217773
5.466871440410614,1988-01-01,4.411757439374924,6.4008108377456665
4.038007080554962,1988-02-01,3.1512204706668854,4.850455284118652
3.5304459929466248,1988-03-01,2.498171478509903,4.5138101279735565
4.4796547293663025,1988-04-01,3.190581977367401,5.640818893909454
7.160729110240936,1988-05-01,5.2635045647621155,8.51340651512146
11.322297871112823,1988-06-01,9.975034773349762,12.656664907932281
14.935646772384644,1988-07-01,13.727240204811096,16.394054532051086
16.21102547645569,1988-08-01,14.62009060382843,17.706923484802246
14.853055477142334,1988-09-01,13.541826009750366,16.091891288757324
11.74874722957611,1988-10-01,10.663685202598572,12.796546339988708
9.003320038318634,1988-11-01,8.122486412525177,9.844508349895477
7.203840494155884,1988-12-01,6.306828796863556,8.207657039165497
5.5719441175460815,1989-01-01,4.470731437206268,6.530109643936157
4.42907851934433,1989-02-01,3.2673876583576202,5.430746793746948
3.935459405183792,1989-03-01,2.8879261016845703,4.931797057390213
4.795714795589447,1989-04-01,3.794232040643692,5.748092949390411
